Fecha,Ventas,NumTransacc,NumPedidos,NumClientes,UnidadesVendidas,EsFinDeSemana,Trimestre,SemanaMes,DiaAnio,SemanaAnio,Ventas_Lag1,Ventas_Lag7,Ventas_Media_7d,Ventas_Media_30d,Es_Navidad,Dias_para_Navidad,DiaSemana_sin,DiaSemana_cos,Mes_sin,Mes_cos,Prod_20724,Prod_20725,Prod_21212,Prod_21977,Prod_22086,Prod_22178,Prod_22197,Prod_22492,Prod_22834,Prod_23084,Prod_23203,Prod_23307,Prod_47566,Prod_71459,Prod_84077,Prod_84755,Prod_84879,Prod_85099B,Prod_85123A,Prod_Otros,Prod_Sin_Actividad
2010-12-08,40923.74,2518.0,116.0,99.0,21008.0,0,4,2,342,49,57620.88,51005.57,40923.74,40923.74,0,17,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010-12-09,43298.67,2744.0,106.0,90.0,16309.0,0,4,2,343,49,40923.74,40635.29,42111.205,42111.205,0,16,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-10,50687.25,2649.0,76.0,53.0,19550.0,0,4,2,344,49,43298.67,41703.67,44969.886666666665,44969.886666666665,0,15,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-11,0.0,0.0,0.0,0.0,0.0,1,4,2,345,49,50687.25,0.0,33727.415,33727.415,0,14,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010-12-12,16739.8,1382.0,44.0,42.0,8887.0,1,4,2,346,49,0.0,29561.39,30329.892,30329.892,0,13,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-13,34626.06,2249.0,70.0,59.0,16452.0,0,4,2,347,50,16739.8,47475.08,31045.92,31045.92,0,12,0.0,1.0,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2010-12-14,40153.95,1972.0,89.0,72.0,19095.0,0,4,2,348,50,34626.06,57620.88,32347.06714285714,32347.06714285714,0,11,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-15,26630.96,1293.0,73.0,66.0,16088.0,0,4,3,349,50,40153.95,40923.74,30305.24142857143,31632.55375,0,10,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-16,38387.52,1726.0,121.0,98.0,23655.0,0,4,3,350,50,26630.96,43298.67,29603.64857142857,32383.10555555555,0,9,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-17,38142.45,3078.0,65.0,50.0,14377.0,0,4,3,351,50,38387.52,50687.25,27811.534285714286,32959.03999999999,0,8,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
