,PC1,PC2
Recency,-0.0017750802762654025,-0.06018875723285915
Frequency,0.014775357656027471,0.19201749390589895
Monetary,0.012484937935384995,0.22931574654997033
num_meses_activo,0.009105988033928319,0.12265563940351919
frecuencia_mensual,0.013212072795911531,0.13260644713587946
dias_entre_compras,0.0026386205944719564,0.005158197601600424
ticket_promedio,-0.0026382216887062926,0.07984777379132668
gasto_mensual,0.0010308650678823702,0.10939230025107789
num_productos_unicos,6.154313034534365e-05,0.1459227547455391
diversidad_producto,-0.015143680774246784,0.011858167880275345
cantidad_total_comprada,0.009667930922152429,0.2185549353267988
cantidad_promedio_por_compra,-0.005217872544779761,0.06259958833793801
num_cancelaciones,0.06304511965100876,0.12709142923210828
tasa_cancelacion,0.10733775817011697,-0.04881895346083421
valor_devuelto,0.5269168517710746,0.7320316873847567
ratio_devolucion_monetario,0.8398749028522944,-0.47445935589483546
compras_fin_semana,-0.0007217043599364772,0.05645121070777253
ratio_fin_semana,-0.021455795252981417,0.008189606473617349
pais_France,1.5635088831722938e-06,0.0008692526594482116
pais_Germany,3.2198475617751854e-05,0.0012928619483563962
pais_Otros,-0.0002371730995866224,2.269627049986513e-05
pais_United Kingdom,0.00020341111508570336,-0.0021848108783044584
dia_Friday,-0.00045144874092486727,-0.0014302511731522885
dia_Monday,-0.0007950670382223999,-0.00266790878765591
dia_Sunday,-0.0024911665768977123,0.0007032888699219746
dia_Thursday,0.0009566791616503053,0.0006036098139482584
dia_Tuesday,0.000570620485054593,-0.0016771526367534287
dia_Unknown,0.00033956737866339343,0.0033749238893362897
dia_Wednesday,0.0018708153306766881,0.0010934900243550964
